Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,
1,3.74249818,77,751.71875,10.48763213,,,
2,3.319911919,85,337.90625,10.11081223,,,
3,4.602311185,95,280.625,7.107389961,,,
4,4.391071073,97,185.96875,6.515871767,,,
5,-14.05978713,62,298.1875,14.56404593,,,
6,-4.061675218,59,135.15625,9.203241695,,,
7,2.803227947,91,124.53125,6.587252681,,,
8,-1.376068516,58,74.84375,5.06972768,,,
9,3.738945501,107,79.28125,5.491907981,,,
10,0.767976962,85,419.96875,15.59174865,,,
11,1.438904276,101,134.1875,10.396415,,,
12,1.818907977,99,225.71875,7.608765143,,,
13,2.247202787,69,76.6875,1.834454798,,,
14,2.875859392,67,80.46875,1.430246141,,,
15,3.270072171,78,411.0625,14.03646519,,,
16,-3.310477797,63,325.3125,13.19955495,,,
17,4.367328076,79,73.125,4.133794627,,,
18,-54.64429408,1600,81.84375,4.467076161,,,
19,2.833225492,79,118.09375,4.366767258,,,
20,-6.081119332,56,76.5,4.729816148,,,
21,0.373997813,79,75.28125,1.316696679,,,
22,1.610770719,71,85.6875,1.27354442,,,
23,0.957620781,71,77,3.831071637,,,
24,-0.420442335,52,71.28125,4.341822582,,,
25,2.788078405,127,64.78125,1.112105499,,,
26,0.324401337,65,248.21875,10.77757786,,,
27,1.50173475,130,73.84375,0.793051637,,,
28,0.838265763,63,391,13.84518092,,,
29,-14.75569081,149,71.0625,0.922960803,,,
30,3.0917522,105,305.59375,16.5385926,,,
31,1.736222068,81,110.59375,9.050781156,,,
32,0.517941659,58,151.3125,10.75401273,,,
33,0.243929264,66,90.53125,7.128693865,,,
34,0.791528832,99,101.25,9.622181757,,,
35,1.17655658,61,86.53125,0.860268239,,,
36,-0.835013074,78,101.625,8.187166868,,,
37,-0.133954687,96,84.15625,4.030983383,,,
38,0.499711066,103,83.28125,5.51471279,,,
39,-1.516115557,59,89.375,6.539745196,,,
40,4.015186449,77,94.90625,1.146345977,,,
41,3.465751937,113,91.09375,4.755833467,,,
42,3.539943037,100,103.6875,4.655285872,,,
43,5.213313216,115,84.59375,3.704286249,,,
44,6.937494917,112,108.6875,2.152353626,,,
45,7.902613056,99,165.875,7.448715798,,,
46,8.424971131,113,105.75,1.841593106,,,
47,9.606890028,123,155.65625,11.23427063,,,
48,7.164493034,93,128.75,2.058074962,,,
49,17.70771778,273,288.96875,14.5349841,,,
50,10.30379785,122,394.1875,19.71359652,,,
51,9.859602787,116,137.0625,6.385309333,,,
52,12.77446336,136,144.96875,6.91324813,,,
53,9.327738705,110,175.0625,9.505989422,,,
54,12.05559454,171,128.125,2.871997845,,,
55,10.84075018,158,317.6875,17.52820706,,,
56,4.55628704,117,250.25,13.73708051,,,
57,6.266828736,99,216.125,14.52821165,,,
58,5.869864813,128,162.6875,8.261050056,,,
59,12.88342911,131,221.71875,17.44455992,,,
60,10.51367635,143,187.15625,8.74618278,,,
61,10.89272643,120,147.625,6.800544861,,,
62,11.46598188,128,174.5,5.862187258,,,
