Episode,Reward,Steps,,,
223,-92.48442666,1600,,,
224,-19.61092926,88,,,
225,-81.50812951,1600,,,
226,-3.77503563,60,,,
227,-79.99296153,1600,,,
228,-20.08475965,76,,,
229,-0.004538602,104,,,
230,1.348973197,103,,,
231,-14.81379527,66,,,
232,-88.15792539,1600,,,
233,-0.711811657,89,,,
234,-2.200823212,80,,,
235,-2.95537262,75,,,
236,-1.398403025,51,,,
237,-94.00665241,1600,,,
238,-3.919915642,71,,,
239,-16.46007017,72,,,
240,-11.73254143,55,,,
241,-4.746604489,122,,,
242,-94.17190803,1600,,,
243,-77.18516773,1600,,,
244,-7.490083986,67,,,
245,-6.546151167,53,,,
246,-81.27137245,1600,,,
247,-2.066012014,47,,,
248,-6.190064232,98,,,
249,-0.855253857,66,,,
250,-0.484286461,70,,,
251,-14.36524865,65,,,
252,-5.315437303,84,,,
253,-0.875046927,83,,,
254,-12.05774305,61,,,
255,-15.28877267,80,,,
256,-9.584374837,45,,,
257,-82.40518773,1600,,,
258,4.108490715,103,,,
259,-22.75134323,77,,,
260,-3.587264692,85,,,
261,-1.557112936,72,,,
262,-18.44904625,165,,,
263,-89.30270202,1600,,,
264,-7.281914391,86,,,
265,-87.05191014,1600,,,
266,-1.984340961,80,,,
267,-79.3037573,1600,,,
268,-78.45384696,1600,,,
269,-0.493423469,109,,,
270,-10.15150286,53,,,
271,-12.63953803,59,,,
272,-19.15285414,92,,,
273,-12.88726517,58,,,
274,-18.44679947,80,,,
275,-92.02047465,1600,,,
276,-89.63856205,1600,,,
277,-76.73347577,1600,,,
278,-10.28256008,43,,,
279,-0.16673892,70,,,
280,-0.406344782,83,,,
281,-19.37035881,87,,,
282,-82.97457935,1600,,,
283,-27.71681384,270,,,
284,-79.97154863,1600,,,
285,-95.65199866,1348,,,
286,-0.387090088,62,,,
287,-88.52005236,1600,,,
288,0.103170674,76,,,
289,-5.469593134,67,,,
290,-86.64639171,1600,,,
291,-16.25173187,66,,,
292,-12.87607091,58,,,
293,-14.33018318,59,,,
294,-87.72608217,1600,,,
295,-82.02627799,1600,,,
296,0.651801587,87,,,
297,-1.768669491,123,,,
298,-2.596755007,127,,,
299,-3.666241499,64,,,
300,-6.412789776,194,,,
301,-91.86281755,1600,,,
302,-78.95584666,1600,,,
303,-70.52132194,1600,,,
304,0.056479698,66,,,
305,-77.45394381,1600,,,
306,-18.4975979,69,,,
307,-79.06144908,1600,,,
308,-81.41540814,1600,,,
309,-86.17869856,1600,,,
310,-21.99779121,137,,,
311,-86.81127581,1600,,,
312,-10.98631383,46,,,
313,-3.135632294,67,,,
314,-2.350146046,66,,,
315,-1.75285062,78,,,
316,-79.87207185,1600,,,
317,-13.02625539,59,,,
318,-81.87042836,1600,,,
319,-1.243580067,79,,,
320,-18.55097848,106,,,
321,-73.69554859,1600,,,
322,-81.70399909,1600,,,
323,-5.051977468,63,,,
324,-29.65272072,142,,,
325,-92.52137227,1600,,,
326,-6.666361001,54,,,
327,-85.9979939,1600,,,
328,-8.488279821,71,,,
329,-10.8713631,70,,,
330,-1.858806808,75,,,
331,0.681029834,73,,,
332,-0.770196823,65,,,
333,-1.711758138,93,,,
334,-2.785386792,88,,,
335,-86.68147064,1600,,,
336,-4.348832744,71,,,
337,-9.657588145,130,,,
338,-8.94295996,68,,,
339,-87.52509464,1600,,,
340,-86.51412436,1600,,,
341,-85.41588001,1600,,,
342,-4.263291851,71,,,
343,-14.81227345,53,,,
344,-19.05777431,83,,,
345,0.420001594,77,,,
346,-9.241114618,44,,,
347,-85.31123134,1600,,,
348,-1.529983247,87,,,
349,-93.4523167,1600,,,
350,-13.33868497,59,,,
351,-16.77251872,69,,,
352,-2.777794943,89,,,
353,-18.22772409,55,,,
354,-81.3824713,1600,,,
355,-2.006820597,65,,,
356,-88.90081715,1600,,,
357,-12.82556084,56,,,
358,-2.271419211,107,,,
359,-83.57882361,1600,,,
360,-78.95856465,1600,,,
361,-87.59669648,1600,,,
362,-79.78377063,1600,,,
363,-76.00728416,1600,,,
364,-2.833973558,62,,,
365,-81.26967259,1600,,,
366,0.801865563,90,,,
367,-79.81203797,1600,,,
368,-14.43114068,72,,,
369,-97.23076504,1600,,,
370,-6.505120539,54,,,
371,-83.05660956,1600,,,
372,-3.845565424,64,,,
373,-0.833747414,77,,,
374,-1.294345607,79,,,
375,0.734339317,99,,,
376,-16.8002637,82,,,
