Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,
1,-3.958163372,68,334.0625,9.698791197,,,
2,-8.228480003,52,83.59375,10.69581695,,,
3,-8.758679328,49,76.4375,5.18716747,,,
4,-10.00563137,55,53.71875,1.472910563,,,
5,-4.639944182,49,63.3125,5.348413275,,,
6,-4.177458283,73,73.34375,1.652263315,,,
7,-8.729451191,45,65.5625,2.029453216,,,
8,-13.51053978,172,47.625,1.728565867,,,
9,-11.47645415,58,85.6875,8.541371512,,,
10,-5.916691095,50,76.15625,9.730406155,,,
11,-8.112803961,43,86.53125,11.92502332,,,
12,-6.726024319,58,92.6875,13.17115389,,,
13,-10.88708583,65,52.65625,1.338158777,,,
14,-10.6933862,79,73.9375,11.40970799,,,
15,-5.977852065,51,63.9375,7.803418696,,,
16,-8.652578165,41,56.625,1.376353621,,,
17,-10.47331926,57,84.6875,9.163329987,,,
18,-4.915948834,56,76.46875,8.297155603,,,
19,-5.789921752,51,81.59375,11.14989402,,,
20,-8.027075543,89,175.90625,32.8836549,,,
21,-7.458026529,61,167.90625,34.39487047,,,
22,-12.93198534,57,173.125,40.6667633,,,
23,-28.34735753,121,66.75,3.814706949,,,
24,-6.25112992,81,155.84375,39.15633256,,,
25,-7.662553754,78,64.03125,6.444873433,,,
26,-22.14932437,73,72.34375,3.905943452,,,
27,-162.4137217,1600,68.34375,5.568330121,,,
28,-34.77890469,131,642.6875,75.86371773,,,
29,-7.732747182,66,177.125,38.21734133,,,
30,-29.79308337,116,81.6875,4.98515865,,,
31,-9.55867376,60,120.75,23.58397722,,,
32,-10.62170985,48,72.53125,3.113136743,,,
33,-153.4627357,1600,71.5625,6.258329179,,,
34,-157.7669348,1600,1600,4.260680877,,,
35,-141.7395289,1600,1491.4375,30.23103253,,,
36,-153.3686112,1600,1417.1875,37.49437062,,,
37,-153.4578145,1600,1511.40625,23.23067386,,,
38,-20.45286156,81,1600,13.48464465,,,
39,-9.966599053,64,686.21875,55.79580733,,,
40,-7.257004755,62,60.8125,1.761121188,,,
41,-6.501841449,54,59,1.207479605,,,
42,-7.222254217,52,53.09375,1.098196869,,,
43,-7.478496386,52,52.4375,0.959782277,,,
44,-6.883006513,56,52.53125,1.268358399,,,
45,-5.445371121,64,63.0625,0.81928788,,,
46,-6.876425642,52,58.46875,1.340471399,,,
47,-6.658006944,60,56.15625,1.163138591,,,
