Episode,Reward,Steps,,,
215,-73.77883218,1600,,,
216,-79.37929866,1600,,,
217,-60.97979265,1600,,,
218,-14.2320414,235,,,
219,-74.45973037,1600,,,
220,-80.33181717,1600,,,
221,-74.05165078,1600,,,
222,-74.07868828,1600,,,
223,-69.79426371,1600,,,
224,-69.71020626,1600,,,
225,-70.45315755,1600,,,
226,-73.85341,1600,,,
227,-68.90095722,1600,,,
228,-77.24657661,1286,,,
229,-65.00156657,1600,,,
230,-82.47108234,1600,,,
231,-67.18660803,1600,,,
232,-64.93494272,1600,,,
233,-67.39288144,1600,,,
234,-70.33673662,1600,,,
235,-66.23273397,1600,,,
236,-69.42382496,1600,,,
237,-73.54872741,1600,,,
238,-60.8639436,1600,,,
239,-72.15508778,1600,,,
240,-86.09297552,1600,,,
241,-85.55019441,1600,,,
242,-66.43819773,1600,,,
243,-74.5720399,1600,,,
244,-74.64748424,1600,,,
245,-6.916732287,266,,,
246,-16.12361993,233,,,
247,-9.612602401,242,,,
248,-12.51122505,304,,,
249,-78.44324999,1600,,,
250,-66.47436125,1600,,,
251,-73.52254321,1600,,,
252,-15.85056381,242,,,
253,-58.0592415,1124,,,
254,-14.4878627,239,,,
255,-80.43363324,1600,,,
256,-77.32908183,1600,,,
257,-74.17666072,1600,,,
258,-64.15921352,1600,,,
259,-73.02947651,1600,,,
260,-86.38433428,1600,,,
261,-26.78859402,472,,,
262,-65.08565595,1600,,,
263,-54.6514312,955,,,
264,-64.47436566,1600,,,
265,-75.29368416,1600,,,
266,-70.17873259,1600,,,
267,-15.44937005,245,,,
268,-76.52804627,1600,,,
269,-73.44369367,1600,,,
270,-14.83533471,235,,,
271,-67.51484137,1600,,,
272,-55.67945014,1194,,,
273,-68.35725651,1600,,,
274,-71.53561856,1600,,,
275,-78.62298399,1600,,,
276,-67.93129641,1600,,,
277,-74.20401468,1600,,,
278,-62.45854868,1600,,,
279,-15.81983472,233,,,
280,-68.06251532,1600,,,
281,-74.74591336,1600,,,
282,-15.31111323,243,,,
283,-15.32292936,233,,,
284,-77.2105129,1600,,,
285,-73.5537185,1600,,,
286,-77.5444853,1600,,,
287,-9.320922475,241,,,
288,-75.30302759,1600,,,
289,-66.1745927,1600,,,
290,-69.70014994,1600,,,
291,-78.40053957,1600,,,
292,-75.4481423,1600,,,
293,-70.14668634,1600,,,
294,-80.1457501,1600,,,
295,-35.63219543,632,,,
296,-72.57559581,1600,,,
297,-79.81550775,1600,,,
298,-78.88865952,1600,,,
299,-64.60163724,1600,,,
300,-75.86356268,1600,,,
301,-70.60387495,1600,,,
302,-76.38696915,1600,,,
303,-15.67304624,233,,,
304,-71.00253582,1600,,,
305,-47.38048789,801,,,
306,-77.0789453,1600,,,
307,-72.48984277,1600,,,
308,-74.6305646,1600,,,
309,-49.04612409,872,,,
310,-74.56682334,1600,,,
311,-77.65478037,1600,,,
312,-74.62111184,1600,,,
313,-72.11851436,1600,,,
314,-71.22580284,1600,,,
315,-68.67533191,1600,,,
316,-72.06554288,1600,,,
317,-82.97798829,1600,,,
318,-66.00843447,1600,,,
319,-66.07997529,1600,,,
320,-71.5490948,1600,,,
321,-82.87607933,1600,,,
322,-81.60967277,1600,,,
323,-75.43298706,1600,,,
324,-72.54164977,1600,,,
325,-13.72266439,245,,,
326,-67.36106345,1600,,,
327,-22.23944466,325,,,
328,-72.75257057,1600,,,
329,-14.02353167,232,,,
330,-72.86167433,1600,,,
331,-70.97006384,1600,,,
332,-72.58385406,1600,,,
333,-64.70711993,1600,,,
334,-42.0880586,792,,,
335,-70.24957296,1600,,,
336,-59.53414206,1600,,,
337,-73.8784793,1600,,,
338,-78.39966735,1600,,,
339,-72.32882886,1600,,,
340,-81.64847942,1436,,,
341,-69.47799661,1600,,,
342,-77.12933127,1600,,,
343,-74.60756475,1600,,,
344,-68.01808885,1600,,,
345,-78.21287654,1600,,,
346,-68.78897582,1600,,,
347,-9.919818003,249,,,
348,-78.10505922,1600,,,
349,-80.45792995,1600,,,
350,-73.53735843,1600,,,
351,-72.75128458,1600,,,
352,-15.60524103,232,,,
353,-65.64453523,1194,,,
354,-62.95065759,1600,,,
355,-80.78289395,1600,,,
356,-65.80842404,1600,,,
357,-74.01274907,1600,,,
358,-13.50650505,237,,,
359,-80.07589519,1600,,,
360,-65.81441947,1600,,,
361,-11.43619608,293,,,
362,-82.05228486,1600,,,
363,-71.77351181,1600,,,
364,-62.96958357,1600,,,
365,-87.67878766,1600,,,
366,-61.9485329,1600,,,
367,-76.98096672,1600,,,
368,-14.20930459,238,,,
369,-78.77204242,1600,,,
370,-62.54306159,1600,,,
371,-50.9998741,1033,,,
372,-14.04139412,238,,,
373,-75.84768855,1600,,,
374,-31.36126568,481,,,
375,-70.15874266,1600,,,
376,-65.80724692,1600,,,
377,-63.99366033,1600,,,
378,-81.04044914,1600,,,
379,-70.40567724,1600,,,
380,-69.92778833,1600,,,
381,-79.27399087,1600,,,
382,-47.64746694,882,,,
383,-70.84591804,1600,,,
384,-68.9981493,1600,,,
385,-61.31191958,1600,,,
386,-83.99470932,1600,,,
387,-75.6064735,1600,,,
388,-63.14205201,1600,,,
389,-87.88188596,1600,,,
390,-74.40654672,1600,,,
391,-57.2166578,1113,,,
392,-73.45014272,1600,,,
393,-77.48679219,1600,,,
394,-75.0229083,1600,,,
395,-65.74375001,1600,,,
396,-65.99421884,1600,,,
397,-81.15146929,1600,,,
398,-69.5994241,1600,,,
399,-70.59529638,1600,,,
400,-73.02321022,1600,,,
401,-73.51304533,1600,,,
402,-31.28051245,635,,,
403,-80.58401339,1600,,,
404,-70.02175075,1600,,,
405,-66.23664704,1600,,,
406,-73.67821738,1600,,,
407,-71.25667583,1600,,,
408,-71.14622633,1600,,,
409,-79.9126307,1600,,,
410,-82.34504584,1600,,,
411,-72.68530434,1600,,,
412,-73.10270753,1600,,,
413,-74.54459062,1600,,,
414,-63.41070937,1600,,,
415,-75.59166629,1600,,,
416,-66.4764071,1600,,,
417,-75.03642154,1600,,,
418,-64.68908073,1600,,,
419,-75.94771604,1600,,,
420,-76.09999829,1600,,,
421,-74.24549857,1600,,,
422,-75.44345195,1600,,,
423,-58.44155214,1111,,,
424,-68.24884232,1600,,,
425,-72.79241778,1600,,,
426,-67.22168108,1600,,,
427,-72.88878616,1600,,,
428,-69.65624709,1198,,,
429,-24.22119591,371,,,
430,-80.5450266,1600,,,
431,-72.00752504,1567,,,
432,-73.79140052,1600,,,
433,-72.87666409,1600,,,
434,-13.31893388,237,,,
435,-76.41461916,1600,,,
436,-10.02314498,293,,,
437,-65.01365752,1600,,,
438,-71.87614373,1600,,,
439,-65.75034451,1600,,,
440,-67.9306063,1600,,,
441,-73.20313734,1600,,,
442,-14.72751332,236,,,
443,-15.53934672,244,,,
444,-75.20668416,1600,,,
445,-65.685736,1600,,,
446,-65.03957882,1600,,,
447,-77.33018725,1600,,,
448,-74.20672695,1600,,,
449,-74.17031333,1600,,,
450,-55.74208963,1032,,,
451,-63.55421039,1600,,,
452,-15.72022168,234,,,
453,-95.31713187,1600,,,
454,-73.88291987,1600,,,
455,-17.37097519,321,,,
456,-70.50512689,1600,,,
457,-65.95537914,1600,,,
458,-66.98037278,1600,,,
459,-73.99356771,1600,,,
460,-77.36823976,1600,,,
461,-74.08076086,1600,,,
462,-77.30724201,1600,,,
463,-15.69163822,234,,,
464,-65.37441482,1600,,,
465,-77.78715907,1600,,,
466,-74.17123829,1600,,,
467,-70.14091745,1600,,,
468,-73.88752818,1600,,,
469,-72.00590543,1600,,,
470,-79.26892352,1600,,,
471,-32.78259956,903,,,
472,-8.464443668,271,,,
473,-79.86399932,1600,,,
474,-76.52208009,1600,,,
475,-70.96286476,1600,,,
476,-73.50449324,1600,,,
477,-84.04398165,1600,,,
478,-64.42286464,1600,,,
479,-79.38268523,1600,,,
480,-69.50461303,1600,,,
481,-25.84103272,488,,,
482,-57.94447307,1117,,,
483,-86.69172399,1600,,,
484,-73.59865344,1600,,,
485,-13.72683959,239,,,
486,-71.97935988,1600,,,
487,-65.58991714,1600,,,
488,-65.74445365,1600,,,
489,-13.72744598,239,,,
490,-65.78594564,1600,,,
491,-14.20442781,313,,,
492,-71.11206866,1600,,,
493,-80.32109404,1600,,,
494,-71.28037664,1600,,,
495,-76.46208995,1600,,,
496,-74.05659952,1600,,,
497,-64.95766117,1195,,,
498,-80.76518577,1600,,,
499,-78.05934887,1600,,,
500,-47.47349616,961,,,
501,-81.3424922,1600,,,
502,-68.24727053,1600,,,
503,-73.21726333,1600,,,
504,-82.68876537,1600,,,
505,-14.1537748,239,,,
506,-60.56532258,1600,,,
507,-12.75506213,237,,,
508,-79.85228378,1600,,,
509,-66.67709539,1600,,,
510,-63.11021084,1600,,,
511,-72.5075834,1600,,,
512,-13.62575552,313,,,
513,-64.02600305,1600,,,
514,-77.15120362,1600,,,
515,-72.75684016,1600,,,
516,-70.91158191,1600,,,
517,-65.56020234,1600,,,
518,-15.51951929,233,,,
519,-72.94612693,1600,,,
520,-14.63058487,235,,,
521,-72.1551345,1600,,,
522,-65.52977219,1600,,,
523,-78.14751974,1600,,,
524,-76.44313449,1600,,,
525,-70.90405462,1600,,,
526,-56.53429831,1039,,,
527,-62.57867765,1600,,,
528,-15.60339959,244,,,
529,-64.79267018,1600,,,
530,-80.00413638,1600,,,
531,-73.32896448,1600,,,
532,-73.56240906,1600,,,
533,-71.71005226,1600,,,
534,-71.46581898,1600,,,
535,-15.61256501,245,,,
536,-72.65373446,1600,,,
537,-73.62866179,1600,,,
538,-77.35432481,1600,,,
539,-73.69224054,1495,,,
540,-79.75180465,1600,,,
541,-70.78556693,1600,,,
542,-70.00460838,1600,,,
543,-69.40926159,1600,,,
544,-72.72414809,1600,,,
545,-74.92549472,1600,,,
546,-70.41360834,1600,,,
547,-74.51330963,1600,,,
548,-77.95773031,1600,,,
549,-69.07908476,1600,,,
550,-32.26270685,400,,,
551,-21.6372215,326,,,
552,-71.42016623,1600,,,
553,-74.6409773,1600,,,
554,-65.27919735,1600,,,
555,-62.35693481,1600,,,
556,-71.40351232,1600,,,
557,-76.55616289,1600,,,
558,-74.18749865,1600,,,
559,-67.09476223,1600,,,
560,-79.44307118,1600,,,
561,-74.96066654,1600,,,
562,-87.67594779,1600,,,
563,-64.71186902,1600,,,
564,-83.89476662,1600,,,
565,-11.90159583,297,,,
566,-64.15953546,1600,,,
567,-15.52789796,234,,,
568,-81.07364156,1595,,,
569,-72.79526749,1600,,,
570,-7.024139738,263,,,
571,-14.91076402,240,,,
572,-61.60556635,1600,,,
573,-24.27412723,323,,,
574,-68.59273165,1600,,,
575,-75.60011818,1600,,,
576,-76.22901077,1600,,,
577,-70.01863241,1600,,,
578,-80.06398173,1600,,,
579,-75.50695176,1600,,,
580,-68.55637703,1600,,,
581,-30.88288612,472,,,
582,-59.36046209,1600,,,
583,-76.54722114,1600,,,
584,-81.38049735,1600,,,
585,-72.5815875,1600,,,
586,-71.23606006,1600,,,
587,-74.81389961,1600,,,
588,-71.69314763,1600,,,
589,-74.17918339,1600,,,
590,-70.71148378,1600,,,
591,-66.8378849,1600,,,
592,-71.23523684,1600,,,
593,-15.86827059,238,,,
594,-71.699828,1600,,,
595,-70.47302159,1600,,,
596,-72.38818877,1600,,,
597,-70.90594161,1600,,,
598,-72.3002267,1600,,,
599,-79.00789815,1600,,,
600,-74.05825961,1600,,,
