Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,
1,0.989419271,132,526.375,11.07722809,,,
2,-21.9898014,1600,327.09375,11.41209672,,,
3,1.023271388,68,82.375,6.283659613,,,
4,3.204757045,93,169.3125,9.413142152,,,
5,-3.241705494,57,82.875,8.431105522,,,
6,0.569059037,60,122.8125,6.540288218,,,
7,0.392210777,63,82.03125,6.332759834,,,
8,-0.492169253,57,72.9375,1.861224462,,,
9,-1.668754535,104,71.96875,6.24603135,,,
10,0.816480176,79,66.84375,1.632058184,,,
11,-1.349903635,79,76.71875,6.710743675,,,
12,-0.186188539,77,77.53125,7.802330169,,,
13,2.118504768,73,77.78125,6.77112067,,,
14,1.071055354,108,70.21875,1.456114,,,
15,2.216922368,70,70.625,4.929039796,,,
16,1.840230836,72,71.25,0.821640318,,,
17,1.549394077,73,142.875,9.044619092,,,
18,0.853114995,58,71.375,6.992381426,,,
19,1.160642521,68,68.09375,4.285480285,,,
20,0.383573239,66,116.75,9.871213474,,,
21,0.824862576,65,68.625,1.163629602,,,
22,1.481165059,99,134.4375,11.2738479,,,
23,0.906850387,100,81.53125,4.513674935,,,
24,1.551265102,98,81.875,2.727810517,,,
25,2.09152586,88,79.90625,7.345808707,,,
26,2.030884799,102,82.90625,6.699315124,,,
27,-1.213083159,80,104.34375,9.185323732,,,
28,0.52388205,101,83.875,6.943677953,,,
29,2.443931162,115,82.3125,1.741741224,,,
30,-0.396378667,108,158.65625,15.71244666,,,
31,2.746186622,79,105,12.03640314,,,
32,0.676979254,87,78.3125,1.634352118,,,
33,-35.55585693,143,90.4375,1.753764578,,,
34,0.648205223,119,133.1875,15.92576171,,,
35,-3.229566209,133,103.96875,1.827811705,,,
36,3.415927355,105,119.59375,13.6065679,,,
37,-0.968739043,102,131.875,12.24743875,,,
38,-2.248918241,68,90.6875,8.61920239,,,
39,2.57964808,83,72.1875,1.654519679,,,
40,1.479866383,89,89.1875,1.851804333,,,
41,1.261107509,69,81.8125,1.670187453,,,
42,1.317414835,61,88.28125,5.620046321,,,
43,3.0266252,94,84.40625,3.576743167,,,
44,0.420309098,123,86.46875,0.98115697,,,
45,3.265070789,96,97.8125,8.462913025,,,
46,5.425309436,102,109.03125,7.894785487,,,
47,0.809185371,96,108.59375,10.64330872,,,
48,0.359992513,99,103.125,5.170446751,,,
49,0.612868381,80,104.84375,7.534974942,,,
50,1.540939688,76,86.4375,1.542654498,,,
51,-0.248401214,71,87.9375,5.712970315,,,
52,0.891006291,72,70.03125,1.200696176,,,
53,0.405904632,92,183.6875,18.97579326,,,
54,-2.829522265,62,81.375,4.717900794,,,
55,-0.507492135,65,87.875,11.42858722,,,
56,0.072358607,65,66.875,3.345295132,,,
57,1.955925996,71,74.4375,0.961516927,,,
58,1.615335357,69,73.375,1.217445593,,,
59,-0.744400411,81,86.3125,5.249434581,,,
60,3.153185049,74,151,19.46836956,,,
61,3.453849673,81,81.15625,2.456302086,,,
62,5.105665059,92,82.6875,1.298302634,,,
63,4.010460999,89,186.5,19.80891363,,,
64,-17.86411122,77,92.59375,1.427927811,,,
65,-13.58733533,136,188.65625,11.17029475,,,
66,-0.394020825,73,99.96875,10.63535354,,,
67,1.315653222,81,84.03125,4.186719026,,,
68,1.882366889,75,78.875,1.597015708,,,
69,1.611493523,86,73.9375,2.705087923,,,
70,4.747050051,93,84.21875,1.873245338,,,
71,-0.164150891,76,138.09375,6.52347842,,,
72,2.577290567,82,80.0625,2.906277191,,,
73,7.480435429,109,86.875,2.772106536,,,
74,2.955872168,115,146.09375,8.78080772,,,
75,5.08875116,82,83.1875,4.294323886,,,
76,6.36507228,88,96.375,6.382205561,,,
77,7.740276913,72,133.1875,4.94863787,,,
78,20.23191216,135,82.09375,3.010928531,,,
79,10.7865918,82,102.8125,9.665943206,,,
80,1.721578121,58,89.40625,8.330982939,,,
81,-23.14240478,310,92.34375,5.476583157,,,
82,3.217634008,96,268.75,15.54696777,,,
83,7.820834591,98,136.3125,4.714379009,,,
84,11.54387587,98,111.96875,6.00337127,,,
85,11.57844292,100,141.03125,6.824855004,,,
86,12.40517077,121,97.15625,7.793962704,,,
87,15.17355833,106,120.46875,10.22375528,,,
88,9.503714576,94,120.65625,10.20623634,,,
89,-16.25960054,278,90.875,5.082775723,,,
90,12.41966475,107,153.65625,13.36521146,,,
91,6.052581529,93,161.375,8.005519554,,,
92,1.971996816,79,124.09375,11.61803822,,,
93,15.2213689,114,148.125,10.80447056,,,
94,10.95619712,101,132.5625,9.971039124,,,
95,9.372219568,107,84.59375,5.376265093,,,
96,-0.933306236,62,124.84375,13.54261092,,,
97,12.2441968,108,87.96875,5.377696763,,,
98,3.883934776,82,118.9375,9.760984506,,,
99,8.019591929,99,106.875,8.520432517,,,
100,11.94600733,90,98.34375,4.247899139,,,
101,11.20046262,96,121.5,7.183174719,,,
102,8.711661367,79,111.34375,8.742737176,,,
103,12.53320051,89,82.34375,5.191344041,,,
104,12.49718127,113,92.34375,3.686378092,,,
105,11.64913354,100,106.4375,4.774500898,,,
106,1.00586485,117,107.15625,7.502394974,,,
107,12.86529447,119,175.1875,7.335882833,,,
108,9.88416771,95,103.15625,6.656531234,,,
109,7.709790547,102,92.625,3.601647393,,,
110,14.10203554,119,101.03125,3.462592022,,,
111,7.642321621,82,104.5625,3.724887862,,,
112,7.445227212,98,117.34375,4.874801384,,,
113,5.610630529,94,111.53125,4.25228887,,,
114,10.20746481,106,102.15625,3.093698065,,,
115,10.32781109,106,121.84375,5.232171989,,,
116,11.35227141,103,107.4375,2.392407571,,,
117,11.51048362,110,94.34375,2.647943273,,,
118,6.699428987,97,115.4375,3.16226192,,,
119,3.057191816,91,116.3125,3.357281288,,,
120,11.39599771,162,117.28125,3.625574907,,,
121,8.955399453,97,150.03125,8.583578563,,,
122,16.42093475,110,130.15625,8.350578804,,,
123,14.79917667,124,114.0625,7.958966141,,,
124,7.441364826,113,114.71875,3.384177467,,,
125,14.66315809,146,113.15625,3.72594534,,,
126,16.71283634,139,165.03125,10.50415658,,,
127,6.248245353,118,166.6875,9.422680395,,,
128,50.11861678,398,203.84375,11.51919502,,,
129,14.86779529,153,188.8125,11.03238758,,,
130,19.43739405,150,186,13.44796152,,,
131,21.61177054,224,202.90625,9.925382872,,,
132,78.8285644,784,343.875,26.53652399,,,
133,143.3675963,1600,676.28125,56.39386223,,,
134,150.1175219,1600,1445.28125,34.64439136,,,
135,160.8893125,1600,1408.375,42.49536617,,,
136,160.5080825,1600,1513.59375,30.3065092,,,
137,172.3885412,1600,1570.21875,30.44995942,,,
138,182.1291994,1600,1566.0625,24.73124327,,,
139,199.7578719,1600,1600,8.55523777,,,
140,191.4366839,1600,1594.90625,22.80579377,,,
141,191.3429209,1600,1530.28125,36.78963409,,,
142,169.62979,1600,1457.84375,54.95981612,,,
143,162.3245877,1600,1587.125,45.04814965,,,
144,166.2009545,1600,1600,13.42854323,,,
145,184.1919681,1600,1474.0625,45.93674525,,,
146,196.2360547,1600,1600,14.46185829,,,
147,174.5868465,1600,1600,11.50001808,,,
148,180.4003191,1600,1600,16.02497013,,,
149,216.1710531,1600,1600,13.57961123,,,
150,243.4730598,1600,1600,9.886729168,,,
151,233.1877051,1600,1557.15625,37.1777284,,,
152,241.8053124,1600,1600,10.94040451,,,
153,197.8772567,1600,1600,12.36348156,,,
154,215.9133067,1600,1599.4375,43.89195101,,,
155,231.4731134,1600,1559.34375,35.94785399,,,
156,233.2244253,1600,1600,12.93824061,,,
157,234.1344801,1600,1600,11.18750839,,,
158,257.8937452,1600,1597.6875,15.12011099,,,
159,263.9511176,1528,1575.8125,7.052223308,,,
160,259.3597249,1600,1555.09375,24.82153064,,,
161,265.4627927,1503,1563.03125,16.16275541,,,
162,259.7316061,1577,1524.4375,33.10946709,,,
163,262.9864831,1515,1588.90625,11.70769544,,,
164,261.5087043,1573,1561.40625,6.799917097,,,
165,260.1520747,1600,1571.15625,18.51877237,,,
166,270.8354551,1509,1578.34375,9.220326126,,,
167,265.5326732,1586,1558.71875,4.896586884,,,
168,266.9585816,1554,1562.96875,7.663287767,,,
169,265.7670894,1541,1569.6875,7.506301223,,,
170,262.2541967,1595,1576.78125,8.292492919,,,
171,265.3724606,1568,1558.5625,6.136729172,,,
172,271.3890249,1434,1584.28125,12.15948966,,,
173,263.4499936,1537,1566.75,92.65176368,,,
174,269.6924184,1431,1544.4375,5.075557772,,,
175,275.573245,1360,1506.5,5.271133574,,,
176,267.2605865,1521,1498.125,69.78283053,,,
177,262.5673086,1542,1567.84375,9.306172142,,,
178,260.0586634,1510,1378.34375,101.4202357,,,
179,267.7314561,1487,1570.21875,18.2896331,,,
180,271.0977129,1484,1522.21875,4.189609451,,,
181,249.4884208,1600,1523.8125,56.01531159,,,
182,266.4307211,1426,1553.03125,7.302050813,,,
183,242.5574132,1600,1502.375,5.409146641,,,
184,261.6803959,1548,1535.46875,46.82383648,,,
185,260.9131338,1559,1561.4375,15.86409768,,,
186,263.7340401,1507,1535.15625,19.90090424,,,
187,264.2922457,1528,1549.375,34.08364002,,,
188,262.4611665,1551,1523.4375,12.39407041,,,
189,264.0474685,1548,1556.46875,4.697640966,,,
190,261.8868213,1577,1566.28125,35.02852967,,,
191,261.1990985,1566,1577.65625,14.49637628,,,
192,266.1660861,1522,1548.65625,10.43013074,,,
193,267.8054385,1548,1538.28125,3.924151573,,,
194,266.8132165,1585,1543.3125,6.309309205,,,
195,265.9021294,1563,1511.1875,4.671901269,,,
196,268.4802657,1498,1513.78125,12.25128633,,,
197,276.4881133,1357,1521.75,5.612413579,,,
198,269.2806932,1489,1491.25,18.79546731,,,
199,265.9420917,1580,1483.21875,31.16370019,,,
200,268.8171186,1455,1551.375,10.24247678,,,
201,272.9053627,1427,1500.625,4.162636798,,,
202,267.7175178,1508,1480.21875,24.85441208,,,
203,265.6313403,1501,1511.53125,5.065057414,,,
204,273.4426998,1378,1512.0625,6.968097217,,,
205,269.8707211,1387,1459.46875,24.32691872,,,
206,274.0389511,1367,1431.15625,3.909992156,,,
207,275.5082137,1375,1418.875,3.08254889,,,
208,268.6931388,1390,1446.71875,60.11813583,,,
209,272.8161832,1344,1430.78125,3.479993285,,,
210,268.9716513,1407,1427.9375,22.40823211,,,
211,263.8572052,1490,1520.46875,12.64588531,,,
212,251.555468,1600,1487.6875,16.14718339,,,
213,245.5087746,1600,1525.6875,21.74283047,,,
214,260.2466463,1497,1543.9375,8.737326709,,,
215,257.9087867,1533,1523.9375,9.000860099,,,
216,259.6643645,1509,1519.1875,7.536638988,,,
217,263.4644721,1482,1501.34375,12.4999555,,,
218,259.239982,1474,1523.28125,86.36755301,,,
219,261.9056798,1404,1445.03125,72.80164332,,,
220,256.9909644,1481,1492.65625,23.65607843,,,
221,251.7738025,1489,1515.40625,5.530766497,,,
222,255.496083,1485,1482.875,6.670955963,,,
223,246.7264586,1587,1485.53125,4.026671107,,,
224,256.0734462,1454,1523.65625,33.95274647,,,
225,258.483746,1410,1495.71875,30.47958314,,,
226,260.6437172,1408,1441.75,46.62245135,,,
227,261.0932131,1384,1458.375,7.334804982,,,
228,263.7385228,1375,1443.09375,4.726366138,,,
229,241.6735171,1600,1414.53125,5.121213023,,,
230,255.5656796,1555,1435,40.87934414,,,
231,240.6763419,1600,1511.125,29.14597789,,,
232,264.1201604,1441,1440.9375,33.42220039,,,
233,256.8793452,1526,1510.8125,13.91174382,,,
234,269.9652887,1386,1440.71875,42.40350714,,,
235,260.4300282,1507,1523.9375,55.07615729,,,
