Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
1,7.258965968,111,800,10.17174247
2,7.187616957,104,586.96875,10.37316154
3,-17.53738068,105,422.8125,11.34838515
4,7.447481963,144,381.3125,10.31983097
5,-4.306415815,1600,369.84375,8.834010425
6,5.482689935,83,278.34375,10.12451034
7,4.249100023,64,327.78125,9.039739333
8,6.201262901,102,318.21875,9.678315014
9,2.842843439,60,232.25,7.555692466
10,3.191784719,60,264.125,5.823771947
11,5.868733225,98,168.65625,6.461538559
12,5.798807066,108,173.3125,8.638447412
13,4.64697942,105,74.53125,2.336068896
14,4.647297856,94,217.34375,7.615314491
15,2.356147235,56,82.71875,7.814081035
16,2.532761169,58,73.9375,1.800469568
17,3.146100304,61,127.8125,3.150181786
18,3.36426747,62,75.34375,2.335425759
19,3.091118672,60,120.46875,5.540699573
20,3.437690115,62,184.8125,6.379945284
21,3.148382459,62,124.4375,5.398608233
22,3.029136258,60,264.84375,7.078566408
23,2.870683174,65,117.1875,3.942500047
24,3.55244783,74,78.15625,4.2470309
25,4.144476635,77,80.75,1.541670013
26,3.302055622,64,219.71875,7.511807921
27,3.080075779,62,265.28125,6.960136627
28,3.257619471,63,121.4375,7.141472448
29,3.520582277,63,127.03125,6.82253572
30,3.517995804,62,82.96875,2.10115219
31,3.735281341,63,135.9375,5.695540168
32,3.51026925,63,127.6875,3.97797839
33,3.359581007,62,93.15625,5.385292462
34,2.105255244,60,178.4375,5.995963846
35,2.306909539,60,130.84375,4.51341505
36,3.836800513,69,78.5,1.61013026
37,3.655855948,66,183.5625,10.50833472
38,3.648643165,66,130.75,4.071630281
39,3.147465418,62,133.46875,4.841116306
40,3.112826484,61,78.53125,3.97186202
41,3.763440586,72,137.15625,5.787677279
42,3.778363423,71,124.9375,2.530242229
43,3.357929382,63,80.28125,5.459155701
44,4.04882673,70,77.46875,1.65046011
45,1.307047457,176,139.0625,6.663761289
46,5.024471049,74,127.3125,3.842061725
47,1.719909683,145,180.96875,5.973242252
48,4.169870415,146,176.6875,7.3316829
49,4.251889563,122,139.53125,5.583373081
50,4.258411294,121,88.78125,1.707355065
51,5.637240083,84,92.84375,1.784015506
52,5.886556872,85,279.59375,6.998378006
53,5.78805675,82,144.1875,4.730660811
54,4.482279046,117,84.53125,4.537842954
55,3.834081709,93,183.71875,4.790566543
56,4.109310986,85,86.8125,5.740555303
57,4.068100047,95,93.25,7.131693793
58,4.007594359,85,86.125,1.682165908
59,4.177856898,76,226.8125,6.72055269
60,4.55571453,83,179.53125,9.005777155
61,5.272443229,77,85.375,1.898433008
62,4.788109973,87,79.78125,1.587294812
63,4.469192887,131,97.46875,6.717056046
64,4.62087614,114,128.84375,7.00548432
65,4.445766225,116,134.5625,6.004708248
66,4.155584932,90,182.875,4.590383693
67,4.74259268,116,84.3125,1.627932439
68,4.284952035,104,132.4375,2.422653883
69,6.64904256,93,95.71875,1.178318425
70,5.017077306,90,237.1875,5.780059431
71,5.778237865,84,187.3125,7.098190123
72,4.514136518,105,186.0625,8.137918954
73,4.358034467,108,86.71875,1.365726502
74,5.116162386,80,136.625,5.784785696
75,5.559272827,78,87.28125,3.36602891
76,5.645572482,82,137.1875,3.484078652
77,5.450009228,79,92.15625,5.919249717
78,5.56499874,87,83.8125,1.899254636
79,5.031278791,132,95.9375,5.854194496
80,5.539510775,79,139.8125,4.843513625
81,5.74302736,81,190.09375,7.772772634
82,4.890539032,87,184.71875,9.063909045
83,4.562864777,225,134.09375,5.299022059
84,3.99480837,81,136.78125,4.854126673
85,3.950410307,105,136.8125,8.040600249
86,5.228407423,186,83.65625,1.661869634
87,3.987219549,94,131.34375,4.187190589
88,5.890915898,81,88.375,1.513981296
89,5.685894283,82,135.8125,6.225310002
90,5.369849564,81,134.0625,5.441620705
