Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
230,36.97692841,674,585.03125,40.38944205
231,61.5744184,625,640.46875,42.12328999
232,9.654800911,592,589.03125,37.63897463
233,70.26469203,815,776.1875,46.3630138
234,87.24552803,678,692.1875,45.47358453
235,49.69218153,557,582.84375,34.85528695
236,28.40440441,269,729.78125,46.93178935
237,2.533047888,461,622,46.38730644
238,76.74869021,912,708.4375,35.87635883
239,67.17555009,675,644.625,44.32695025
240,36.55519673,715,549.375,46.73063416
241,107.2599378,732,734.5625,41.62652768
242,36.58674405,281,627.71875,52.50499043
243,19.08038924,293,673.8125,55.78030355
244,23.23892273,422,451.96875,31.00408268
245,72.31905106,499,478.90625,35.63493203
246,2.390729627,191,362.625,28.93089366
247,18.58905841,167,320.875,25.31487152
248,24.41464552,173,382.25,29.53051848
249,12.58741875,932,489.25,33.7270785
250,10.82447655,110,474.28125,33.85321945
251,10.00605835,275,461.8125,31.67607795
252,49.83258943,604,586.09375,49.07705504
253,108.8451598,1212,536.34375,45.42673835
254,130.8170239,1196,654.46875,51.88849083
255,20.36547006,153,497.0625,37.68851012
256,137.8549008,1170,674.15625,56.06223189
257,16.35430733,318,1000.4375,60.14573642
258,29.42587819,214,659.75,49.60803516
259,77.94991484,863,937.09375,61.39539291
260,83.25814552,722,913.625,59.13390476
261,40.61488888,685,914.25,61.81924669
262,93.04221192,1213,1027,63.48618883
263,162.249208,1600,1237.375,61.17479572
264,131.3052707,1600,1165.71875,58.78477496
265,-21.43931926,198,1114.5625,56.9588915
266,26.87662502,273,1131.46875,53.56041233
267,67.09141115,1600,1110.21875,60.65447829
268,57.14985049,1104,840.34375,57.69578803
269,121.4743635,1153,598.65625,52.99934772
270,14.80667701,174,696.75,56.42646555
271,136.971724,1006,798.28125,64.39374032
272,175.0605011,1600,725.65625,53.06084803
273,-24.1382859,188,606.65625,47.26885663
274,56.88613874,866,551.53125,48.74026961
275,-2.284502131,198,677.90625,49.92764038
276,-7.476329091,93,772.1875,66.00993047
277,41.87586588,326,755.5,55.94046493
278,46.02124467,481,823.875,60.45797238
279,54.70097421,877,814.625,63.91362538
280,108.1934782,840,601.3125,42.08260377
281,104.5062314,803,577.53125,53.43372436
282,125.3271292,1385,599.59375,54.63821291
283,26.32578308,243,769.0625,49.25988367
284,108.0354358,861,683,52.80668621
285,58.95398636,587,672.90625,49.46120291
286,184.3182973,1600,829.65625,63.47800782
287,192.7212918,1597,732.125,52.39603894
288,207.2713064,1600,618.375,49.80697049
289,18.06037985,157,820.46875,66.05715517
290,97.37402752,1406,736.53125,54.11575579
291,69.19643669,765,605.28125,50.15620603
292,39.41251437,249,740.75,55.0026932
293,125.8822326,1600,782.34375,49.44283969
294,19.72096506,297,942.25,55.36316235
295,54.1893754,461,716.15625,61.67585988
296,117.940296,1338,871.90625,52.5865771
