Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
1,6.935070606,119,375.4375,10.27812065
2,7.045182328,121,563.15625,10.60928771
3,7.083340709,123,658.6875,9.846722292
4,6.977585736,116,528.90625,8.992355248
5,7.042824347,117,607.25,9.618891312
6,7.176194767,112,612.84375,9.830323157
7,7.126927837,111,291.90625,10.20398949
8,7.204435091,121,472.0625,10.26839935
9,7.064637006,115,812.90625,10.33957408
10,7.001904627,115,615.09375,9.134002807
11,7.058857328,118,369.90625,8.341735481
12,7.102842402,118,424.6875,8.265805195
13,7.305434595,116,579.1875,9.478656731
14,7.216237801,110,572.78125,13.2678061
15,6.991402443,115,472,10.88001081
16,7.076517755,112,561.3125,9.484192614
17,7.162927198,112,514.40625,11.98091892
18,7.191696916,115,563.6875,9.78596515
19,6.896509121,111,471.96875,9.265306471
20,7.136908519,116,710.15625,8.832503738
21,7.234526323,113,570.21875,8.188882475
22,7.167060724,112,747.84375,10.69268019
23,7.14857732,113,722.6875,10.41184172
24,6.973006176,112,612.625,9.508431187
25,6.913302684,113,852.4375,9.477507654
26,6.92921809,110,564.34375,10.59844283
27,7.191656805,114,573.90625,11.31535707
28,7.016792729,112,753.71875,10.08392267
29,7.056523113,113,710.34375,9.149035506
30,6.984812785,111,515.75,10.23894949
31,7.02427808,110,523.1875,10.02701476
32,6.989620426,110,618.125,13.62761542
33,7.12047392,113,513.03125,9.641339444
34,6.806894996,107,331.6875,9.532934119
35,7.039109318,111,664.34375,9.516792471
36,7.060765951,111,522.84375,10.40665631
37,7.037964435,113,664.71875,11.38105576
38,7.122116666,115,701.78125,8.638542948
39,6.996430631,110,705.21875,9.882604162
40,7.029113765,112,529.1875,11.23089124
41,6.902380494,108,801.78125,9.252947946
42,6.961031268,109,617.21875,9.37543346
43,7.208275704,116,338.59375,10.18330113
44,7.133647305,111,890.84375,9.612614956
45,7.071634295,114,562.9375,10.75909211
46,6.927394048,107,606.15625,9.325358193
47,7.00696699,109,563.375,10.5660856
48,7.033149442,107,705,9.689109154
49,7.123882434,111,616.53125,10.20517686
50,7.168543958,111,476.46875,10.670512
51,7.168507027,111,605.71875,9.584372972
52,7.013692977,106,516.03125,13.85434769
53,7.022589593,110,470.96875,10.71464836
54,7.006946024,112,559.46875,11.88822793
55,6.969626051,108,702.03125,9.83269334
56,7.063692083,111,514.28125,10.45023076
57,7.140691683,112,759.84375,15.25767461
58,6.905786321,110,568.875,11.61492802
59,7.04512553,108,706.5,9.559497293
60,7.072380086,112,752.03125,8.748459014
61,6.982877906,112,528.71875,10.16999629
62,7.134748984,112,658.5625,9.97648702
63,6.959495696,104,664.28125,6.654131217
64,7.209928078,110,623.625,12.5542885
65,7.049572629,105,473.28125,10.85832062
66,7.123487898,108,651.96875,9.032219127
67,7.096782273,110,517.375,9.849384333
68,7.15978746,111,703.9375,11.1894999
69,7.195682688,111,560.0625,9.039653028
70,7.015402734,108,388.84375,11.7552269
71,7.097166701,106,518.8125,9.263433613
72,6.964087693,106,661.84375,10.75783857
73,7.02107373,112,610.8125,9.68234121
74,7.141819646,110,657.625,12.37128883
75,6.927962165,107,472.28125,9.952512202
76,7.011080698,105,660.9375,9.26724054
77,7.250890681,105,465.03125,8.95034038
78,7.005211433,109,560.5,9.141527777
79,7.086282196,110,609.75,12.44568337
80,7.25170475,108,702.15625,9.271675643
81,6.973787748,105,696.53125,8.018971943
82,7.059351677,105,565.34375,9.771796336
83,6.9607289,109,423.15625,8.705676063
84,7.074194925,105,668.125,10.05346191
85,7.162250819,107,610.34375,8.686021876
86,7.092725127,109,335.8125,9.796241318
87,6.841435105,105,472.03125,9.335916716
88,6.926462754,104,585.28125,9.464431343
89,7.162369999,108,486.65625,9.565313853
90,7.196632394,110,611.5,10.3794814
91,6.987433208,106,609.375,9.080089298
92,6.914173083,102,572.0625,9.855751834
93,6.996770879,105,523.125,9.001285486
94,7.070385811,106,615,8.896608736
95,7.134950346,108,436.46875,10.55832941
96,7.079014466,107,616.75,9.347864976
97,7.084243205,107,710.4375,11.43111263
98,6.911984996,102,758.84375,10.9874748
99,7.152125261,105,709.90625,11.18022658
100,6.858521611,106,664.53125,9.920295918
101,6.97456902,104,467.90625,9.619234948
102,6.926176387,107,467.25,9.093596919
103,6.972067408,106,654.09375,10.06422268
104,7.153234792,103,749.53125,8.078363862
105,7.143720304,108,560,9.62297077
106,7.095481093,108,417.59375,10.59388524
107,6.876282683,105,516.9375,9.712849645
108,6.935323202,101,607.8125,9.480321937
109,6.933078978,105,508.875,10.10688712
110,6.987464831,106,470.78125,9.44630154
111,6.974617183,106,752.6875,9.700839153
112,7.013872205,106,611.125,10.98063651
113,7.115970079,102,602.40625,8.815256852
114,7.118122872,106,523.9375,10.55978176
115,7.158885249,108,608.875,10.58678041
116,7.202767416,103,391.4375,10.42735127
117,6.90814026,105,513.125,9.419359901
118,6.938889614,105,651.125,9.747768271
119,6.975436776,105,478.09375,11.3893101
120,7.29532667,107,707,10.60576817
121,7.104128044,106,800.46875,9.876056806
122,7.127463327,104,518.96875,9.486852551
123,6.93630161,103,338.1875,10.45112988
124,7.167435717,109,467.0625,9.439776286
125,6.900958124,106,843.6875,10.87655293
126,6.936129719,103,516.34375,11.05991186
127,7.000629374,104,425.15625,8.466391142
128,6.955257759,105,561.9375,8.457368337
129,7.076994546,105,616.15625,9.065411499
130,7.101795104,106,615.5,9.494158908
131,7.108760975,105,607.125,9.853368522
132,7.162940358,105,564.375,10.35225955
133,7.206144481,105,744.15625,8.932678652
134,7.194515697,105,611.25,8.591083384
135,7.268199569,105,568.6875,9.588449579
136,7.025841322,103,568.65625,11.55648185
137,6.960577682,105,846.625,9.606870219
138,6.982662314,104,610.65625,10.56738888
139,7.26328018,107,366.84375,10.30658562
140,7.220391183,103,372.1875,10.93684466
141,7.083495465,105,752.25,10.55655429
142,7.138495708,106,704.03125,8.62920593
143,7.074185987,104,560.71875,9.342944854
144,7.126177434,107,798.84375,7.254543655
145,6.857106887,103,467.34375,10.18467314
146,6.892634327,101,518.4375,10.27432334
147,6.922977927,104,566.875,9.394294997
148,6.905444524,102,517.1875,9.004898113
149,6.972549535,104,664.15625,9.643724567
150,6.962362536,105,523.625,9.786983663
151,7.032282096,103,560.8125,11.34668612
152,7.050441956,100,424.53125,9.547314488
153,7.077390432,104,562.03125,8.435128533
154,7.123414164,103,567.875,10.20156102
155,7.064983016,102,665.40625,10.8018219
156,7.024412348,106,420.40625,9.313985559
157,7.0660031,108,423.65625,10.39868774
158,7.1180218,105,659.84375,9.971440508
159,7.09101021,106,472.53125,8.02798051
160,6.995613207,104,743.53125,9.117378874
161,7.201395866,106,613.84375,11.23184776
162,6.806680135,103,619.28125,10.99846691
163,6.821070069,102,615.71875,10.93812032
164,6.868106382,103,520.125,10.17587989
165,6.962638338,106,801.3125,11.1381248
166,6.934593393,104,516.0625,8.875067301
167,7.041591436,104,710.9375,9.402954246
168,6.989426303,104,657.46875,8.885029476
169,7.044618807,105,711.6875,9.231103353
