Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
1,7.168661847,114,608.25,8.884651362
2,6.954571059,111,708.4375,8.247188875
3,7.363858825,112,662.3125,8.564981389
4,7.028175387,112,625.15625,9.514761808
5,7.280022741,112,562.34375,9.136014064
6,7.530859791,115,806.75,9.9584744
7,6.982359502,108,473.78125,9.442005742
8,7.471303991,106,655.28125,9.650135369
9,6.825810485,106,478.03125,12.10809408
10,7.570992292,105,620.40625,11.06404894
11,7.504056678,103,607.21875,9.348747586
12,6.891337598,103,561.09375,9.976549666
13,7.609603005,110,514.53125,12.71574063
14,6.891280604,104,563.875,9.117640885
15,7.126281871,100,658.59375,10.59942739
16,7.246895257,105,541.71875,9.766473723
17,7.029638055,107,614.53125,10.47145977
18,7.377329163,105,556.8125,8.952863283
19,7.561546686,107,609.21875,10.31149009
20,7.188629299,107,621.34375,9.69957585
21,7.57890981,106,615.53125,8.916167577
22,7.120351432,105,655.03125,10.14680624
23,7.412027003,104,609.15625,9.605042927
24,7.025763395,107,519.75,9.49432637
25,7.131138583,104,765.8125,9.0934763
26,7.106554719,104,528.5625,10.09588456
27,7.024490491,101,668.125,11.96874625
28,7.284143663,103,523.1875,14.64900371
29,7.46210604,107,482.5625,9.946979581
30,7.507634588,124,470.21875,9.113248769
31,-8.404095382,1600,609.46875,8.567404485
32,-8.584221039,1600,515.5625,9.052059594
33,-8.85971375,1600,472.34375,9.77122198
34,-16.85218374,88,334.5625,12.56679166
35,-16.5016348,87,528.5625,9.623623245
36,-17.48247876,97,523.15625,11.54394158
37,-16.79821921,78,662.03125,9.516058692
38,-17.13130769,88,561.65625,10.35710349
39,-16.91882859,100,558.125,9.457299985
40,-16.90900106,99,428.34375,8.376171199
41,-17.05269122,92,473.15625,11.06588345
42,-16.72201838,80,325.375,9.911772548
43,-16.86852131,83,368.84375,9.80080241
44,-16.88005823,81,465.34375,9.996220791
45,-16.86228532,84,373.40625,10.10104664
46,-17.05364166,96,512.59375,9.581646078
47,-17.10874092,88,521.5625,15.04370497
48,-16.93081513,89,467.46875,11.62056367
49,-17.17595427,100,517.71875,12.30858506
